Date,ticker,close_price
1/2/2020,^GSPC,3257.850098
1/3/2020,^GSPC,3234.850098
1/6/2020,^GSPC,3246.280029
1/7/2020,^GSPC,3237.179932
1/8/2020,^GSPC,3253.050049
1/9/2020,^GSPC,3274.699951
1/10/2020,^GSPC,3265.350098
1/13/2020,^GSPC,3288.129883
1/14/2020,^GSPC,3283.149902
1/15/2020,^GSPC,3289.290039
1/16/2020,^GSPC,3316.810059
1/17/2020,^GSPC,3329.620117
1/21/2020,^GSPC,3320.790039
1/22/2020,^GSPC,3321.75
1/23/2020,^GSPC,3325.540039
1/24/2020,^GSPC,3295.469971
1/27/2020,^GSPC,3243.629883
1/28/2020,^GSPC,3276.23999
1/29/2020,^GSPC,3273.399902
1/30/2020,^GSPC,3283.659912
1/31/2020,^GSPC,3225.52002
2/3/2020,^GSPC,3248.919922
2/4/2020,^GSPC,3297.590088
2/5/2020,^GSPC,3334.689941
2/6/2020,^GSPC,3345.780029
2/7/2020,^GSPC,3327.709961
2/10/2020,^GSPC,3352.090088
2/11/2020,^GSPC,3357.75
2/12/2020,^GSPC,3379.449951
2/13/2020,^GSPC,3373.939941
2/14/2020,^GSPC,3380.159912
2/18/2020,^GSPC,3370.290039
2/19/2020,^GSPC,3386.149902
2/20/2020,^GSPC,3373.22998
2/21/2020,^GSPC,3337.75
2/24/2020,^GSPC,3225.889893
2/25/2020,^GSPC,3128.209961
2/26/2020,^GSPC,3116.389893
2/27/2020,^GSPC,2978.76001
2/28/2020,^GSPC,2954.219971
3/2/2020,^GSPC,3090.22998
3/3/2020,^GSPC,3003.370117
3/4/2020,^GSPC,3130.120117
3/5/2020,^GSPC,3023.939941
3/6/2020,^GSPC,2972.370117
3/9/2020,^GSPC,2746.560059
3/10/2020,^GSPC,2882.22998
3/11/2020,^GSPC,2741.379883
3/12/2020,^GSPC,2480.639893
3/13/2020,^GSPC,2711.02002
3/16/2020,^GSPC,2386.129883
3/17/2020,^GSPC,2529.189941
3/18/2020,^GSPC,2398.100098
3/19/2020,^GSPC,2409.389893
3/20/2020,^GSPC,2304.919922
3/23/2020,^GSPC,2237.399902
3/24/2020,^GSPC,2447.330078
3/25/2020,^GSPC,2475.560059
3/26/2020,^GSPC,2630.070068
3/27/2020,^GSPC,2541.469971
3/30/2020,^GSPC,2626.649902
3/31/2020,^GSPC,2584.590088
4/1/2020,^GSPC,2470.5
4/2/2020,^GSPC,2526.899902
4/3/2020,^GSPC,2488.649902
4/6/2020,^GSPC,2663.679932
4/7/2020,^GSPC,2659.409912
4/8/2020,^GSPC,2749.97998
4/9/2020,^GSPC,2789.820068
4/13/2020,^GSPC,2761.629883
4/14/2020,^GSPC,2846.060059
4/15/2020,^GSPC,2783.360107
4/16/2020,^GSPC,2799.550049
4/17/2020,^GSPC,2874.560059
4/20/2020,^GSPC,2823.159912
4/21/2020,^GSPC,2736.560059
4/22/2020,^GSPC,2799.310059
4/23/2020,^GSPC,2797.800049
4/24/2020,^GSPC,2836.73999
4/27/2020,^GSPC,2878.47998
4/28/2020,^GSPC,2863.389893
4/29/2020,^GSPC,2939.51001
4/30/2020,^GSPC,2912.429932
5/1/2020,^GSPC,2830.709961
5/4/2020,^GSPC,2842.73999
5/5/2020,^GSPC,2868.439941
5/6/2020,^GSPC,2848.419922
5/7/2020,^GSPC,2881.189941
5/8/2020,^GSPC,2929.800049
5/11/2020,^GSPC,2930.189941
5/12/2020,^GSPC,2870.120117
5/13/2020,^GSPC,2820
5/14/2020,^GSPC,2852.5
5/15/2020,^GSPC,2863.699951
5/18/2020,^GSPC,2953.909912
5/19/2020,^GSPC,2922.939941
5/20/2020,^GSPC,2971.610107
5/21/2020,^GSPC,2948.51001
5/22/2020,^GSPC,2955.449951
5/26/2020,^GSPC,2991.77002
5/27/2020,^GSPC,3036.129883
5/28/2020,^GSPC,3029.72998
5/29/2020,^GSPC,3044.310059
6/1/2020,^GSPC,3055.72998
6/2/2020,^GSPC,3080.820068
6/3/2020,^GSPC,3122.870117
6/4/2020,^GSPC,3112.350098
6/5/2020,^GSPC,3193.929932
6/8/2020,^GSPC,3232.389893
6/9/2020,^GSPC,3207.179932
6/10/2020,^GSPC,3190.139893
6/11/2020,^GSPC,3002.100098
6/12/2020,^GSPC,3041.310059
6/15/2020,^GSPC,3066.590088
6/16/2020,^GSPC,3124.73999
6/17/2020,^GSPC,3113.48999
6/18/2020,^GSPC,3115.340088
6/19/2020,^GSPC,3097.73999
6/22/2020,^GSPC,3117.860107
6/23/2020,^GSPC,3131.290039
6/24/2020,^GSPC,3050.330078
6/25/2020,^GSPC,3083.76001
6/26/2020,^GSPC,3009.050049
6/29/2020,^GSPC,3053.23999
6/30/2020,^GSPC,3100.290039
7/1/2020,^GSPC,3115.860107
7/2/2020,^GSPC,3130.01001
7/6/2020,^GSPC,3179.719971
7/7/2020,^GSPC,3145.320068
7/8/2020,^GSPC,3169.939941
7/9/2020,^GSPC,3152.050049
7/10/2020,^GSPC,3185.040039
7/13/2020,^GSPC,3155.219971
7/14/2020,^GSPC,3197.52002
7/15/2020,^GSPC,3226.560059
7/16/2020,^GSPC,3215.570068
7/17/2020,^GSPC,3224.72998
7/20/2020,^GSPC,3251.840088
7/21/2020,^GSPC,3257.300049
7/22/2020,^GSPC,3276.02002
7/23/2020,^GSPC,3235.659912
7/24/2020,^GSPC,3215.629883
7/27/2020,^GSPC,3239.409912
7/28/2020,^GSPC,3218.439941
7/29/2020,^GSPC,3258.439941
7/30/2020,^GSPC,3246.219971
7/31/2020,^GSPC,3271.120117
8/3/2020,^GSPC,3294.610107
8/4/2020,^GSPC,3306.51001
8/5/2020,^GSPC,3327.77002
8/6/2020,^GSPC,3349.159912
8/7/2020,^GSPC,3351.280029
8/10/2020,^GSPC,3360.469971
8/11/2020,^GSPC,3333.689941
8/12/2020,^GSPC,3380.350098
8/13/2020,^GSPC,3373.429932
8/14/2020,^GSPC,3372.850098
8/17/2020,^GSPC,3381.98999
8/18/2020,^GSPC,3389.780029
8/19/2020,^GSPC,3374.850098
8/20/2020,^GSPC,3385.51001
8/21/2020,^GSPC,3397.159912
8/24/2020,^GSPC,3431.280029
8/25/2020,^GSPC,3443.620117
8/26/2020,^GSPC,3478.72998
8/27/2020,^GSPC,3484.550049
8/28/2020,^GSPC,3508.01001
8/31/2020,^GSPC,3500.310059
9/1/2020,^GSPC,3526.649902
9/2/2020,^GSPC,3580.840088
9/3/2020,^GSPC,3455.060059
9/4/2020,^GSPC,3426.959961
9/8/2020,^GSPC,3331.840088
9/9/2020,^GSPC,3398.959961
9/10/2020,^GSPC,3339.189941
9/11/2020,^GSPC,3340.969971
9/14/2020,^GSPC,3383.540039
9/15/2020,^GSPC,3401.199951
9/16/2020,^GSPC,3385.48999
9/17/2020,^GSPC,3357.01001
9/18/2020,^GSPC,3319.469971
9/21/2020,^GSPC,3281.060059
9/22/2020,^GSPC,3315.570068
9/23/2020,^GSPC,3236.919922
9/24/2020,^GSPC,3246.590088
9/25/2020,^GSPC,3298.459961
9/28/2020,^GSPC,3351.600098
9/29/2020,^GSPC,3335.469971
9/30/2020,^GSPC,3363
10/1/2020,^GSPC,3380.800049
10/2/2020,^GSPC,3348.419922
10/5/2020,^GSPC,3408.600098
10/6/2020,^GSPC,3360.969971
10/7/2020,^GSPC,3419.439941
10/8/2020,^GSPC,3446.830078
10/9/2020,^GSPC,3477.139893
10/12/2020,^GSPC,3534.219971
10/13/2020,^GSPC,3511.929932
10/14/2020,^GSPC,3488.669922
10/15/2020,^GSPC,3483.340088
10/16/2020,^GSPC,3483.810059
10/19/2020,^GSPC,3426.919922
10/20/2020,^GSPC,3443.120117
10/21/2020,^GSPC,3435.560059
10/22/2020,^GSPC,3453.48999
10/23/2020,^GSPC,3465.389893
10/26/2020,^GSPC,3400.969971
